theta0_index,theta1_index,theta0_deg,theta1_deg,periapsis_radius_km,periapsis_time_days,selected_half_manifold_sign,jacobi_drift
17,6,220.0,135.0,13750.561956096837,-311.62652705671746,1.0,9.85433956657289e-12
17,7,220.0,157.5,13750.907356744769,-311.6265458869049,1.0,1.0096368185941174e-11
17,8,220.0,180.0,13751.167778602372,-311.6265710722794,1.0,1.0059064692313768e-11
17,9,220.0,202.5,13751.302824046794,-311.6265984333649,1.0,9.748646334628575e-12
17,10,220.0,225.0,13751.292790612437,-311.62662420037844,1.0,9.970690939553606e-12
17,11,220.0,247.5,13751.139272524924,-311.62664448143437,1.0,9.887202168101794e-12
17,12,220.0,270.0,13750.865429124522,-311.6266560905088,1.0,9.942713319333052e-12
17,13,220.0,292.5,13750.512045276217,-311.62665684199607,1.0,9.981349080590007e-12
17,14,220.0,315.0,13750.133566696002,-311.626646918761,1.0,9.806377931909083e-12
17,15,220.0,337.5,13749.789318352703,-311.62662861763425,1.0,1.006572603046152e-11
18,0,221.0,0.0,12755.878345827768,-311.6415750950196,1.0,4.496536476494839e-11
18,1,221.0,22.5,12755.72900427495,-311.6415482336775,1.0,4.5151438143875566e-11
18,2,221.0,45.0,12755.720486900156,-311.64152341704954,1.0,4.494360439366574e-11
18,3,221.0,67.5,12755.85319579025,-311.6415039840321,1.0,4.4995562831218194e-11
18,4,221.0,90.0,12756.105732489914,-311.6414923056983,1.0,4.5070169818473005e-11
18,5,221.0,112.5,12756.441141241909,-311.64149089144,1.0,4.5217607436143226e-11
18,6,221.0,135.0,12756.80759049409,-311.64149957824054,1.0,4.519451479723102e-11
18,7,221.0,157.5,12757.149845889953,-311.64151731574606,1.0,4.526823360606613e-11
18,8,221.0,180.0,12757.41531924984,-311.64154116676696,1.0,4.533173836307469e-11
18,9,221.0,202.5,12757.563021823371,-311.6415672197276,1.0,4.541034215321815e-11
18,10,221.0,225.0,12757.571525062776,-311.6415920285827,1.0,4.541211851005755e-11
18,11,221.0,247.5,12757.439810104945,-311.6416119520055,1.0,4.558531330189908e-11
18,12,221.0,270.0,12757.186924591475,-311.6416234628108,1.0,4.525979591107898e-11
18,13,221.0,292.5,12756.851007012809,-311.6416246304365,1.0,4.4846348856708573e-11
18,14,221.0,315.0,12756.484537881724,-311.6416159346791,1.0,4.517675122883702e-11
18,15,221.0,337.5,12756.14323907339,-311.64159866495555,1.0,4.5277115390263134e-11
19,0,222.0,0.0,11829.00739518038,-311.65846981215515,1.0,4.9762416409748766e-11
19,1,222.0,22.5,11828.846240532797,-311.65844430847125,1.0,4.9813930758091374e-11
19,2,222.0,45.0,11828.819422988267,-311.65842037411244,1.0,4.986810964169308e-11
19,3,222.0,67.5,11828.930302665538,-311.6584012731752,1.0,4.993072622028194e-11
19,4,222.0,90.0,11829.162165756054,-311.6583900008105,1.0,4.973710332478731e-11
19,5,222.0,112.5,11829.479136020338,-311.65838796892666,1.0,4.966826949726055e-11
19,6,222.0,135.0,11829.833997198948,-311.6583960324382,1.0,4.9329429430144955e-11
