sample,elapsed_days,x_nd,y_nd,z_nd,xdot_nd,ydot_nd,zdot_nd,earth_radius_km,jacobi
763,367.6489546608601,0.989258649086881,-2.786808693609874e-05,0.001064898987145649,-0.0003093570054198159,0.009044480542249265,-0.008925596559746398,1614319.014433554,3.000730353763386
764,368.1308012593672,0.9892564698299502,4.711949325957608e-05,0.0009907938234253834,-0.0002164156834892213,0.009048645487089831,-0.008954774585279676,1613597.375022831,3.000730353763387
765,368.6126478578742,0.989255062277261,0.0001221289496619393,0.0009164554291352955,-0.0001231636675991228,0.009049757445823621,-0.008981870430832272,1612911.744970163,3.000730353763387
766,369.0944944563812,0.9892544287559295,0.000197134939975179,0.0008419011109028787,-2.966092153051383e-05,0.009047807888742331,-0.00900687269132666,1612262.701198826,3.000730353763386
767,369.5763410548882,0.9892545710940931,0.0002721120586980383,0.0007671482667932836,6.403213163307317e-05,0.009042790097973451,-0.009029770711785059,1611650.743899594,3.000730353763386
768,370.0581876533952,0.9892554906173761,0.0003470348522164196,0.0006922143800244177,0.0001578546754802893,0.009034699184994544,-0.00905055460336331,1611076.295774039,3.000730353763386
769,370.5400342519023,0.9892571881459068,0.0004218778340290186,0.0006171170125551985,0.000251745567475429,0.009023532105206863,-0.009069215257913928,1610539.701400317,3.000730353763386
770,371.0218808504093,0.9892596639918975,0.0004966155000813604,0.000541873798559391,0.0003456434072131136,0.009009287669508509,-0.009085744361021048,1610041.226723406,3.000730353763387
771,371.5037274489163,0.9892629179577919,0.0005712223441831556,0.0004665024377979118,0.0004394866055396665,0.008991966552818561,-0.009100134403456092,1609581.058671835,3.000730353763386
772,371.9855740474233,0.9892669493349902,0.0006456728734835434,0.0003910206889028811,0.0005332134543523411,0.008971571299515207,-0.009112378691009795,1609159.304901985,3.000730353763386
773,372.4674206459304,0.9892717569031536,0.0007199416239785307,0.0003154463625870389,0.0006267621968833521,0.008948106325762794,-0.009122471352663034,1608775.993671136,3.000730353763386
774,372.9492672444374,0.989277338930094,0.000794003176024776,0.0002397973147924277,0.0007200710982733859,0.00892157791871476,-0.009130407347066218,1608431.073839675,3.000730353763387
775,373.4311138429444,0.9892836931722476,0.0008678321698338131,0.0001640914397924575,0.0008130785162373739,0.008891994232591592,-0.00913618246730433,1608124.415002807,3.000730353763386
776,373.9129604414514,0.9892908168757358,0.0009414033209208471,8.834666326163832e-05,0.0009057229716246147,0.008859365281645179,-0.009139793343932289,1607855.807751396,3.000730353763386
777,374.3948070399585,0.989298706778008,0.00101469143548241,1.258093532734759e-05,0.0009979432186763939,0.008823702930032996,-0.009141237446272956,1607624.964061421,3.000730353763387
778,374.8766536384655,0.9893073591100658,0.001087671425677389,-6.318777638195602e-05,0.001089678314785732,0.008785020878637589,-0.009140513081977738,1607431.517810933,3.000730353763387
779,375.3585002369725,0.9893167695992633,0.001160318324786314,-0.0001389414936777011,0.001180867689566802,0.008743334648878564,-0.009137619394857457,1607275.025423023,3.000730353763386
780,375.8403468354795,0.9893269334726744,0.001232607302224187,-0.0002146622347270736,0.001271451213045695,0.008698661563575667,-0.009132556360998665,1607154.966633278,3.000730353763387
781,376.3221934339866,0.9893378454610237,0.001304513678382715,-0.0002903320209296653,0.001361369262788958,0.008651020724932656,-0.009125324783188036,1607070.74537908,3.000730353763387
782,376.8040400324936,0.9893494998031662,0.001376012939278388,-0.0003659328837409953,0.001450562789792241,0.008600432989722153,-0.009115926283674747,1607021.690808661,3.000730353763387
783,377.2858866310006,0.9893618902511095,0.001447080750983578,-0.0004414468714292777,0.001538973382959563,0.008546920941761682,-0.009104363295307673,1607007.058406703,3.000730353763386
784,377.7677332295077,0.9893750100755628,0.001517692973818617,-0.0005168560557521392,0.001626543332008882,0.008490508861780674,-0.009090639051091032,1607026.031233345,3.000730353763387
785,378.2495798280147,0.9893888520720003,0.001587825676283658,-0.0005921425385403815,0.001713215688652001,0.008431222694786718,-0.009074757572208408,1607077.721273162,3.000730353763387
786,378.7314264265217,0.9894034085672252,0.00165745514871008,-0.0006672884581763198,0.001798934325902777,0.008369090015047653,-0.009056723654571115,1607161.170890003,3.000730353763386
787,379.2132730250287,0.9894186714264153,0.001726557916612179,-0.0007422759959547183,0.001883643995380105,0.008304139988813249,-0.009036542853952423,1607275.35438396,3.000730353763386
788,379.6951196235357,0.9894346320606366,0.001795110753720943,-0.0008170873823148723,0.001967290382481706,0.008236403334906748,-0.009014221469774326,1607419.179645683,3.000730353763387
789,380.1769662220427,0.9894512814348038,0.001863090694682823,-0.0008917049029329673,0.002049820159316221,0.008165912283322297,-0.008989766527618142,1607591.489903881,3.000730353763386
790,380.6588128205498,0.9894686100760703,0.001930475047407533,-0.0009661109046644304,0.002131181035292746,0.008092700531969085,-0.008963185760534433,1607791.065560759,3.000730353763386
791,381.1406594190568,0.9894866080826276,0.001997241405050144,-0.00104028780132667,0.002211321805278563,0.008016803201707072,-0.008934487589231361,1608016.626110953,3.000730353763387
792,381.6225060175639,0.9895052651328932,0.002063367657613889,-0.00111421807931323,0.002290192395248617,0.007938256789822268,-0.008903681101223682,1608266.832138258,3.000730353763387
793,382.1043526160709,0.989524570495067,0.002128832003161398,-0.001187884303031098,0.002367743905361759,0.007857099122091871,-0.008870776029027177,1608540.287385377,3.000730353763386
794,382.5861992145779,0.9895445130370331,0.002193612958623282,-0.001261269120153612,0.002443928650411204,0.007773369303591085,-0.008835782727485385,1608835.540891154,3.000730353763387
795,383.0680458130849,0.9895650812365858,0.002257689370194269,-0.001334355266682149,0.002518700197609912,0.007687107668393896,-0.008798712150316945,1609151.089189781,3.000730353763387
796,383.5498924115919,0.9895862631919586,0.002321040423308375,-0.001407125571810481,0.002592013401682177,0.007598355728320044,-0.008759575825972808,1609485.378566725,3.000730353763386
797,384.0317390100989,0.9896080466326319,0.002383645652185798,-0.001479562962586485,0.002663824437245739,0.007507156120879505,-0.008718385832893206,1609836.807365634,3.000730353763387
798,384.513585608606,0.9896304189303983,0.00244548494894554,-0.001551650468366566,0.002734090828480021,0.00741355255656398,-0.008675154774253966,1610203.728340911,3.000730353763386
799,384.995432207113,0.9896533671106624,0.002506538572278928,-0.001623371225058961,0.002802771476087371,0.007317589765632586,-0.008629895752291439,1610584.451050411,3.000730353763387
800,385.4772788056201,0.9896768778639532,0.002566787155680465,-0.001694708479152777,0.002869826681565495,0.007219313444535877,-0.008582622342294245,1610977.244282858,3.000730353763387
801,385.9591254041271,0.9897009375576266,0.002626211715233569,-0.001765645591530377,0.002935218168818509,0.007118770202118665,-0.008533348566348617,1611380.33851447,3.000730353763387
802,386.4409720026341,0.9897255322477354,0.002684793656949974,-0.001836166041061415,0.002998909103145589,0.007016007505737912,-0.008482088866922373,1611791.928389885,3.000730353763386
803,386.9228186011411,0.9897506476910469,0.002742514783662592,-0.001906253427977529,0.003060864107654289,0.006911073627427195,-0.008428858080370274,1612210.175221852,3.000730353763387
804,387.4046651996482,0.9897762693571862,0.00279935730147279,-0.001975891477027381,0.003121049277154818,0.00680401759023411,-0.008373671410441104,1612633.209504691,3.000730353763386
805,387.8865117981551,0.9898023824408831,0.002855303825753992,-0.002045064040412375,0.003179432189599359,0.006694889114851469,-0.008316544401863937,1613059.133436978,3.000730353763386
