theta0_index,theta1_index,theta0_deg,theta1_deg,periapsis_radius_km,periapsis_time_days,selected_half_manifold_sign,jacobi_drift
3,8,90.0,180.0,80541.4637820151,-283.06574573531793,1.0,3.3155700407405675e-12
3,9,90.0,202.5,104736.42837733398,-285.47649241251844,1.0,3.0118130212031247e-12
3,10,90.0,225.0,132368.90793672684,-285.8304544610115,1.0,2.3447910280083306e-12
3,11,90.0,247.5,43808.769443867335,-447.8844246587906,1.0,5.7984728130122676e-12
3,12,90.0,270.0,1474.7055730903203,-451.7527622984933,1.0,9.711431658843139e-11
3,13,90.0,292.5,117622.56956075627,-286.5629394157913,1.0,8.535394613318203e-13
3,14,90.0,315.0,96256.35744809207,-285.9050943759346,1.0,1.0587086762825493e-12
3,15,90.0,337.5,84157.02441886388,-284.0181240051055,1.0,4.373390538603417e-12
4,0,120.0,0.0,121320.11062220039,-286.9373635370878,1.0,1.240785252321075e-12
4,1,120.0,22.5,98693.01070026052,-285.3766563451213,1.0,1.481925693269659e-12
4,2,120.0,45.0,103026.73025897826,-286.24079903860815,1.0,1.7386092565629951e-12
4,3,120.0,67.5,135427.04958462846,-284.65556405424303,1.0,1.191047260817868e-12
4,4,120.0,90.0,174619.46830943172,-285.2454815759944,1.0,9.729994587814872e-13
4,5,120.0,112.5,185745.18014630213,-288.42454869559475,1.0,2.7147173398134328e-12
4,6,120.0,135.0,186701.1957971239,-287.6196205130165,1.0,5.186961971048731e-13
4,7,120.0,157.5,156466.81129096175,-287.8570516559057,1.0,5.524469770534779e-13
4,8,120.0,180.0,125741.61052324224,-286.41755132932616,1.0,4.818367926873179e-13
4,9,120.0,202.5,94560.48494927702,-286.5131506565842,1.0,4.3582915054685145e-12
4,10,120.0,225.0,102637.53461835919,-285.3216236710503,1.0,2.5299762285158067e-12
4,11,120.0,247.5,135003.3526149187,-284.2187501854916,1.0,8.961720254774264e-13
4,12,120.0,270.0,172892.95340758565,-286.7323474014977,1.0,4.029665490179468e-12
4,13,120.0,292.5,191772.6874727433,-287.2184715060166,1.0,1.0222933610748441e-12
4,14,120.0,315.0,184064.70018441504,-287.93142806740684,1.0,1.163069640597314e-12
4,15,120.0,337.5,156936.97477269563,-287.8103586078918,1.0,5.52891066263328e-13
5,0,150.0,0.0,265288.4037105467,-290.9942380452374,1.0,4.476419235288631e-13
5,1,150.0,22.5,200964.60075974077,-289.7388969057624,1.0,5.39124300757976e-13
5,2,150.0,45.0,145644.40204084644,-288.2402874774917,1.0,6.297184995673888e-13
5,3,150.0,67.5,143757.12404026213,-285.9169933710176,1.0,1.162625551387464e-12
5,4,150.0,90.0,183285.72964445635,-285.25329336451875,1.0,2.8332891588433995e-12
5,5,150.0,112.5,248109.77095570732,-286.3290765073133,1.0,5.231370892033738e-13
5,6,150.0,135.0,301256.85334447655,-288.1764549995926,1.0,7.904787935331115e-13
5,7,150.0,157.5,308579.27576812654,-290.29482160135063,1.0,3.9968028886505635e-13
5,8,150.0,180.0,264306.0999785496,-291.04971116720185,1.0,4.276579090856103e-13
5,9,150.0,202.5,200399.1359202034,-289.7734667296485,1.0,7.860379014346108e-13
5,10,150.0,225.0,149736.98865269384,-287.80159206180645,1.0,1.0409451078885468e-12
5,11,150.0,247.5,141062.56904232648,-286.710639063887,1.0,4.289457677941755e-12
5,12,150.0,270.0,183855.34713680163,-284.7132164748882,1.0,8.699707620962727e-13
5,13,150.0,292.5,248359.46682212615,-286.2201392747427,1.0,5.666578317686799e-13
5,14,150.0,315.0,298308.0517356188,-288.6118269177848,1.0,1.1222134332911082e-12
5,15,150.0,337.5,311091.06736337574,-290.0997067149961,1.0,1.0742517986273015e-12
6,0,180.0,0.0,239104.62172794333,-426.1699994591948,1.0,4.511946372076636e-13
6,1,180.0,22.5,420534.14018674963,-294.43256571189164,1.0,2.3803181647963356e-13
6,2,180.0,45.0,314893.46815731045,-292.87125879125006,1.0,3.028688411177427e-13
6,3,180.0,67.5,238833.104038535,-289.94722993365775,1.0,4.076738946423575e-13
6,4,180.0,90.0,225926.27798092112,-287.24023918845023,1.0,7.309708394132031e-13
6,5,180.0,112.5,277820.3204499773,-285.5027827879203,1.0,6.687983500341943e-13
6,6,180.0,135.0,372251.861904856,-286.2274464129464,1.0,8.877343304902752e-13
6,7,180.0,157.5,464496.98383773916,-288.85778243587123,1.0,6.350475700855895e-14
6,8,180.0,180.0,239785.41561461205,-426.1171677363609,1.0,4.702904732312163e-13
6,9,180.0,202.5,419588.7412169351,-294.47361605194516,1.0,2.4513724383723456e-13
