kind,sample,phase_deg,periapsis_radius_km,time_days,x_nd,y_nd,z_nd,xdot_nd,ydot_nd,zdot_nd,earth_distance_km,jacobi
targeted_trajectory,120,14.88928708770439,6563.000041081413,136.2569069811625,0.9968756513646223,0.01359309058738101,-5.575425384684779e-22,0.007635341578040558,-0.005651682097525669,2.263192235226555e-22,2086420.576709917,3.000356027154448
targeted_trajectory,121,14.88928708770439,6563.000041081413,137.3923812060056,0.997021503571612,0.01347691181553276,-5.528962419609664e-22,0.007296208401054177,-0.006243049896142172,2.494573468053544e-22,2064671.26208599,3.000356027154448
targeted_trajectory,122,14.88928708770439,6563.000041081413,138.5278554308485,0.9971605783285761,0.0133492465576909,-5.477961400430353e-22,0.006941384133268331,-0.006827805341097759,2.72788027117365e-22,2041600.741983105,3.000356027154448
targeted_trajectory,123,14.88928708770439,6563.000041081413,139.6633296556915,0.9972925692703472,0.01321022417346084,-5.422383159711808e-22,0.006570880833273079,-0.007405936478829214,2.963275150721911e-22,2017209.270649651,3.000356027154448
targeted_trajectory,124,14.88928708770439,6563.000041081413,140.7988038805346,0.9974171702334531,0.01305997372157749,-5.362185161458282e-22,0.006184707292092835,-0.007977487095748763,3.200940886733714e-22,1991497.835456884,3.000356027154448
targeted_trajectory,125,14.88928708770439,6563.000041081413,141.9342781053776,0.9975340752050601,0.01289862280782304,-5.297321082407629e-22,0.005782870404877774,-0.008542563372679238,3.441082908447782e-22,1964468.131465319,3.000356027154449
targeted_trajectory,126,14.88928708770439,6563.000041081413,143.0697523302206,0.9976429783028375,0.01272629629244539,-5.227740343810422e-22,0.005365376984640351,-0.009101341646649984,3.683931996493728e-22,1936122.546192495,3.000356027154448
targeted_trajectory,127,14.88928708770439,6563.000041081413,144.2052265550636,0.9977435737956275,0.0125431148335644,-5.153387586847736e-22,0.004932236152159102,-0.009654077479032087,3.929747360296864e-22,1906464.157093317,3.000356027154448
targeted_trajectory,128,14.88928708770439,6563.000041081413,145.3407007799067,0.9978355561778064,0.01234919323878234,-5.07420208383e-22,0.004483462476811242,-0.01020111626958262,4.178820146053259e-22,1875496.744935,3.000356027154448
targeted_trajectory,129,14.88928708770439,6563.000041081413,146.4761750047497,0.9979186203141368,0.01214463859207067,-4.990117076164959e-22,0.004019080096842292,-0.01074290570514792,4.431477438177161e-22,1843224.827110406,3.000356027154448
